indicator	malware
#3263:1581	#4562:0
#3298:333	#4358:1
#3264:752	#4540:0
#3291:2827	#4463:1
#3271:2333	#4502:0
#3259:835	#4370:0
#3286:2908	#4270:0
#3259:335	#4271:0
#3297:2244	#4272:1
#3289:2334	#4502:0
#3295:917	#4370:0
#3283:2662	#4305:0
#3272:3160	#4566:0
#3282:502	#4269:0
#3290:2078	#4295:1
#3277:1585	#4579:0
#3269:2334	#4265:0
#3288:3076	#4344:1
#3273:1086	#4275:0
#3260:1005	#4265:0
#3259:1912	#4258:0
#3272:667	#4358:1
#3279:3163	#4282:0
#3265:3243	#4278:1
