course_of_action	attack_pattern
#3659:185	#3191:2
#3661:208	#3212:4
#260:94	#173:14
#267:20	#183:11
#281:77	#196:9
#3661:49	#3201:6
#254:47	#208:4
#275:92	#185:4
#256:80	#181:3
#3661:35	#3183:3
#272:15	#197:13
#267:51	#173:15
#280:93	#180:8
#3658:220	#3191:2
#3658:179	#3191:2
#3660:136	#3183:3
#254:69	#191:14
#272:13	#189:0
#265:94	#177:2
#282:10	#197:0
#3658:130	#3193:2
#3661:6	#3191:2
#3661:15	#3205:12
#283:97	#177:9
#286:71	#195:5
#3661:200	#3204:1
#254:45	#182:9
#3659:81	#3191:2
#3662:8	#3204:1
#280:93	#201:12
#264:22	#172:1
#3658:118	#3193:2
#266:47	#179:15
#275:3	#184:10
#3659:208	#3204:1
#3658:138	#3205:12
#264:22	#208:4
#3658:126	#3191:2
#274:78	#182:3
#284:21	#198:5
#262:16	#182:12
#287:9	#206:8
#3660:150	#3191:2
#271:72	#169:0
#284:48	#203:3
#3661:14	#3204:1
#279:78	#171:12
#264:22	#169:0
#256:80	#207:13
#3659:113	#3191:2
#276:59	#188:7
#3674:103	#3204:1
#3662:107	#3212:4
#3661:64	#3183:3
#272:7	#185:9
#276:98	#208:1
#275:93	#182:6
#3659:179	#3205:12
#254:40	#171:6
#3674:164	#3215:8
#284:88	#200:12
#3679:14	#3215:11
#3661:107	#3193:2
#3660:18	#3205:12
#256:80	#187:3
#267:29	#172:1
#3660:56	#3191:2
#3662:87	#3208:4
#3658:129	#3204:1
#3662:83	#3193:2
#3661:191	#3204:1
#264:69	#202:3
#269:80	#171:12
#266:47	#185:8
#3659:147	#3181:7
#281:88	#200:1
#272:23	#184:2
#3659:80	#3205:12
#278:99	#201:1
#271:69	#197:3
#3660:6	#3191:2
#256:80	#186:10
#258:98	#197:5
#3662:29	#3191:2
#3660:16	#3193:2
#256:80	#198:5
#279:4	#196:13
#3660:52	#3191:2
#264:45	#201:8
#3659:111	#3191:2
#3658:134	#3191:2
